num,procN,taskN,criteria,timeWork
1,100,1000,667,1759067
2,100,1100,703,4672267
3,100,1200,789,2041155
4,100,1300,848,1442945
5,100,1400,904,1732947
6,100,1500,928,2862386
7,100,1600,1021,1960874
8,100,1700,1064,2863757
9,100,1800,1143,3146876
10,100,1900,1178,2822059
11,100,2000,1216,4558540
12,200,1000,414,1307824
13,200,1100,463,1183639
14,200,1200,458,3198996
15,200,1300,496,2568087
16,200,1400,546,1287179
17,200,1500,588,2138914
18,200,1600,594,3035927
19,200,1700,635,5041975
20,200,1800,653,4545304
21,200,1900,684,4233541
22,200,2000,753,3805874
23,300,1000,326,1504590
24,300,1100,352,2371027
25,300,1200,359,2829861
26,300,1300,392,3481052
27,300,1400,429,2166855
28,300,1500,425,3025417
29,300,1600,437,3679392
30,300,1700,492,3638440
31,300,1800,521,2866249
32,300,1900,504,5344681
33,300,2000,531,3924793
34,400,1000,270,3166503
35,400,1100,297,1478728
36,400,1200,302,2364870
37,400,1300,346,2070670
38,400,1400,342,2649554
39,400,1500,350,6337452
40,400,1600,376,4720197
41,400,1700,397,3560030
42,400,1800,427,4293981
43,400,1900,441,4444218
44,400,2000,429,7108571
45,500,1000,239,2529153
46,500,1100,269,1629824
47,500,1200,274,2008296
48,500,1300,277,4309055
49,500,1400,297,7746931
50,500,1500,301,4316529
51,500,1600,335,4991939
52,500,1700,364,5351122
53,500,1800,377,3018332
54,500,1900,373,7750637
55,500,2000,368,7993817
56,600,1000,204,5157147
57,600,1100,229,3710375
58,600,1200,249,3662602
59,600,1300,262,3659947
60,600,1400,290,2776071
61,600,1500,304,2315412
62,600,1600,294,3926757
63,600,1700,310,8870109
64,600,1800,348,2917497
65,600,1900,341,4556327
66,600,2000,340,4695298
67,700,1000,181,6504584
68,700,1100,220,2196356
69,700,1200,225,5304653
70,700,1300,262,2444326
71,700,1400,254,5564457
72,700,1500,263,5051171
73,700,1600,305,3061400
74,700,1700,273,5695990
75,700,1800,287,6766214
76,700,1900,307,6780903
77,700,2000,331,3785570
78,800,1000,183,4209038
79,800,1100,207,3800835
80,800,1200,236,1623536
81,800,1300,241,2983168
82,800,1400,246,3590719
83,800,1500,253,6036275
84,800,1600,260,5312644
85,800,1700,253,9355685
86,800,1800,270,9033777
87,800,1900,301,5906731
88,800,2000,301,7043628
89,900,1000,219,1843573
90,900,1100,200,3423646
91,900,1200,203,4524360
92,900,1300,224,2831749
93,900,1400,223,4065187
94,900,1500,232,6691346
95,900,1600,242,6310176
96,900,1700,257,5644359
97,900,1800,271,4910628
98,900,1900,268,8590931
99,900,2000,274,12964059
100,1000,1000,173,4633798
101,1000,1100,184,3159191
102,1000,1200,181,5271412
103,1000,1300,208,4181923
104,1000,1400,226,5214268
105,1000,1500,213,7970029
106,1000,1600,229,6121393
107,1000,1700,247,5741471
108,1000,1800,260,7581802
109,1000,1900,243,7653337
110,1000,2000,294,4405776
